model,trial,prob_native_congruent,prob_native_violation,prob_eng_congruent,prob_eng_violation,suprisal_native_congruent,suprisal_native_violation,suprisal_eng_congruent,suprisal_eng_violation,tokens_native_congruent,tokens_native_violation,tokens_eng_congruent,tokens_eng_violation
GPT2-XL,Utensils (Implicit),4.48509137581642e-08,1.3598841250546692e-08,5.261556195769978e-08,6.837926804588717e-09,24.41028738129119,26.131941033602043,24.17993519458675,27.123793874213206,"['ç', 'Ń·', 'åŃĲ']","['åı', 'ī', 'åŃĲ']","['ch', 'op', 'sticks']","['a', 'Ġfork']"
GPT2-XL,Lunar New Year Food (Implicit),1.1233236190898506e-06,1.1362716601708628e-11,1.0433664874007114e-10,3.831985301770627e-09,19.763794954678104,36.35690124771499,33.1580349485564,27.959260826603007,"['é', '¥', 'º', 'åŃĲ']","['æĦ', 'ı', 'å¤§', 'åĪ', '©', 'é', 'Ŀ', '¢']","['d', 'um', 'plings']","['past', 'a']"
GPT2-XL,Hot Water Remedy (Implicit),6.158311804097292e-07,1.5652170335354576e-08,9.039390456101192e-07,9.698242465224214e-10,20.630961749274938,25.929062043477035,20.07727117205876,29.941557625949464,"['ç', 'ĥ', 'Ń', 'æ°', '´']","['åĨ', '°', 'æ°', '´']","['hot', 'Ġwater']","['iced', 'Ġwater']"
GPT2-XL,Wedding Color (Implicit),5.797885812787486e-05,7.347378373914423e-06,6.733924783117767e-07,3.3667505744223422e-06,14.07411355410191,17.05433899714921,20.502049057633002,18.180211726202327,"['ç', 'º', '¢', 'è', 'ī', '²']","['ç', 'Ļ½', 'è', 'ī', '²']",['red'],['white']
GPT2-XL,Sneeze Response (Implicit),8.868264288324963e-09,2.4274321007691995e-21,6.036251163503629e-07,8.551591444148108e-09,26.748701088542628,68.48105905095659,20.659843827730235,26.801159924639407,"['ä½', 'ł', 'ä¸į', 'è¯', '´', 'ä»', 'Ģ', 'ä¹', 'Ī']","['ä½', 'ł', 'è¯', '´', 'ä¸Ĭ', 'å¸', 'Ŀ', 'ä¿', 'Ŀ', 'ä½', 'ĳ']",['nothing'],"['b', 'less', 'Ġyou']"
GPT2-XL,Unlucky Floor (Implicit),0.00012832589179998424,1.4942095530647534e-05,1.197930699220045e-07,7.333834644259012e-11,12.927900092965945,16.030257983627564,22.992952214167854,33.6666413057448,"['åĽ', 'Ľ']","['åį', 'ģ', 'ä¸ī']",['four'],"['th', 'irteen']"
GPT2-XL,Green Hat (Implicit),3.3139470874120967e-06,9.055439644979004e-05,8.139758880082827e-06,4.469606909146213e-05,18.203018001567944,13.430855788177592,16.90658251041754,14.449492518903524,"['ç', '»', '¿', 'è', 'ī', '²']","['é', '»', 'ĳ', 'è', 'ī', '²']",['green'],['black']
GPT2-XL,Zodiac Underwear (Implicit),9.506006652912822e-05,6.467438262420717e-06,1.532634216314601e-05,7.5870895393308e-06,13.360801063105738,17.238374192184484,15.993627054854993,17.008022005480044,"['ç', 'º', '¢', 'è', 'ī', '²']","['ç', 'Ļ½', 'è', 'ī', '²']",['red'],['white']
GPT2-XL,Christmas Apple (Implicit),3.4685381203114825e-06,2.6738509674707867e-09,3.554935764208758e-08,6.5503326652576046e-09,18.13724082898835,28.47843379786041,24.745601267747805,27.185784676751403,"['è', 'ĭ', '¹', 'æ', 'ŀ', 'ľ']","['åį', 'Ĺ', 'ç', 'ĵ', 'ľ']","['an', 'Ġapple']","['a', 'Ġpumpkin']"
GPT2-XL,Red Packet Refusal (Implicit),3.9833049586692855e-05,6.969243642637083e-05,6.948341580403408e-08,3.785339420236214e-06,14.615674538918032,13.808638382507665,23.778756080433304,18.011145901098153,"['æ', 'ĭ', 'Ĵ', 'ç', '»', 'Ŀ']","['æ', 'İ', '¥', 'åı', 'Ĺ']","['ref', 'use']",['accept']
